,MentionPopularity,RTPopularity,RTweetDiffusion,nTweet,nRTweet,MentionInternal,MentionExternal,MentionCohesion,RTInternal,RTExternal,RTCohesion
zbattiz,195,142,0.65,200,130,88,92,0.4888888888888889,94,36,0.7230769230769231
fet_eu,193,111,0.45,200,90,36,183,0.1643835616438356,26,64,0.28888888888888886
SimPolProject,176,1262,0.825,200,165,77,47,0.6209677419354839,139,26,0.8424242424242424
filippoaddarii,110,39,0.595,200,119,53,96,0.35570469798657717,26,93,0.2184873949579832
forfinancewatch,97,49,0.525,200,105,4,84,0.045454545454545456,12,93,0.11428571428571428
UNEP_FI,85,23,0.345,200,69,86,143,0.37554585152838427,6,63,0.08695652173913043
AndreaRoventini,82,93,0.675,200,135,27,42,0.391304347826087,84,51,0.6222222222222222
plusvaluetweets,77,85,0.37,200,74,154,204,0.4301675977653631,38,36,0.5135135135135135
indy_johar,76,33,0.9,200,180,2,17,0.10526315789473684,0,180,0.0
FETFlagships,74,17,0.87,200,174,0,27,0.0,10,164,0.05747126436781609
flipparini,69,21,0.65,200,130,37,128,0.22424242424242424,67,63,0.5153846153846153
GuidoCaldarelli,58,47,0.645,200,129,30,191,0.13574660633484162,32,97,0.24806201550387597
Transitionway,56,148,0.375,200,75,197,140,0.5845697329376854,23,52,0.30666666666666664
ISIgrowth,52,74,0.65,200,130,78,70,0.527027027027027,80,50,0.6153846153846154
the_young_fdn,52,63,0.435,200,87,9,148,0.05732484076433121,15,72,0.1724137931034483
SICommunity_EU,46,13,0.765,200,153,7,73,0.0875,14,139,0.0915032679738562
FinexusCenter,44,11,0.0,4,0,9,3,0.75,0,0,0.0
openmaker,42,94,0.615,200,123,5,44,0.10204081632653061,16,107,0.13008130081300814
mercadomagico,42,41,0.555,200,111,42,135,0.23728813559322035,41,70,0.36936936936936937
cosnet_bifi,37,242,0.675,200,135,26,115,0.18439716312056736,30,105,0.2222222222222222
FETFX_EU,37,52,0.46,200,92,27,56,0.3253012048192771,33,59,0.358695652173913
Pierre_Monnin,37,51,0.565,200,113,22,151,0.12716763005780346,16,97,0.1415929203539823
greenwinproject,37,17,0.64,200,128,35,75,0.3181818181818182,27,101,0.2109375
emacampiglio,35,22,0.4824120603015075,199,96,25,107,0.1893939393939394,22,74,0.22916666666666666
FinforTomorrow,35,11,0.32,200,64,9,184,0.046632124352331605,9,55,0.140625
EcologicalEcon,34,15,0.275,200,55,4,32,0.1111111111111111,16,39,0.2909090909090909
mnapoletano1,32,72,0.765,200,153,64,58,0.5245901639344263,120,33,0.7843137254901961
APRC_CF,32,36,0.5,200,100,8,42,0.16,4,96,0.04
IASS_Potsdam,32,17,0.56,200,112,2,141,0.013986013986013986,2,110,0.017857142857142856
MariaBejaCosta1,32,4,0.025477707006369428,157,4,32,211,0.13168724279835392,4,0,1.0
stf18,31,5,0.375,200,75,0,193,0.0,2,73,0.02666666666666667
Gianlucamisu,30,45,0.72,200,144,32,328,0.08888888888888889,6,138,0.041666666666666664
Peveeeric1,30,0,0.69,200,138,30,90,0.25,0,138,0.0
MazzucatoM,27,46,0.675,200,135,0,36,0.0,3,132,0.022222222222222223
vtchakarova,23,30,0.585,200,117,0,66,0.0,27,90,0.23076923076923078
anxosan,21,75,0.85,200,170,2,70,0.027777777777777776,4,166,0.023529411764705882
BluewaterGlobe,21,1,0.505,200,101,21,30,0.4117647058823529,1,100,0.009900990099009901
Etp4H,21,0,0.57,200,114,21,110,0.16030534351145037,0,114,0.0
Beyond_Ratings,20,7,0.095,200,19,30,271,0.09966777408637874,2,17,0.10526315789473684
Complexity_Labs,19,27,0.085,200,17,5,38,0.11627906976744186,10,7,0.5882352941176471
EnviroNews,18,25,0.49246231155778897,199,98,18,337,0.05070422535211268,23,75,0.23469387755102042
RebuildMacro,17,27,0.785,200,157,14,95,0.12844036697247707,31,126,0.19745222929936307
uzh_bf,17,13,0.2815533980582524,103,29,9,102,0.08108108108108109,10,19,0.3448275862068966
Fet2Rin,15,22,0.325,200,65,168,448,0.2727272727272727,6,59,0.09230769230769231
ISI_Fondazione,15,8,0.77,200,154,2,31,0.06060606060606061,28,126,0.18181818181818182
marcobardoscia,14,4,0.33,200,66,45,98,0.3146853146853147,13,53,0.19696969696969696
anduviera,12,17,0.885,200,177,1,14,0.06666666666666667,14,163,0.07909604519774012
LuisaDeAmicis,12,14,0.78,200,156,59,125,0.32065217391304346,72,84,0.46153846153846156
stephenkinsella,12,12,0.2,200,40,2,259,0.007662835249042145,1,39,0.025
PaoloBarucca,12,11,0.5326633165829145,199,106,20,72,0.21739130434782608,24,82,0.22641509433962265
mireillmartini,12,5,0.72,200,144,21,11,0.65625,11,133,0.0763888888888889
manlius84,11,45,0.565,200,113,5,141,0.03424657534246575,6,107,0.05309734513274336
L__Macfarlane,11,14,0.655,200,131,0,121,0.0,10,121,0.07633587786259542
OVESCO,11,5,0.51,200,102,11,58,0.15942028985507245,5,97,0.049019607843137254
marcoderrico,11,0,0.0,0,0,0,0,0.0,0,0,0.0
SFL_nl,10,14,0.38,200,76,11,165,0.0625,2,74,0.02631578947368421
WJFTechnical,10,6,0.115,200,23,10,45,0.18181818181818182,6,17,0.2608695652173913
SimulPast,10,5,0.914572864321608,199,182,10,17,0.37037037037037035,4,178,0.02197802197802198
FiramisCompany,10,1,0.74,200,148,10,35,0.2222222222222222,1,147,0.006756756756756757
oil_products,10,0,0.2222222222222222,54,12,10,17,0.37037037037037035,0,12,0.0
su_re_co,9,7,0.32663316582914576,199,65,14,112,0.1111111111111111,11,54,0.16923076923076924
WelfareUnited,9,0,0.5151515151515151,132,68,9,34,0.20930232558139536,1,67,0.014705882352941176
recofunghi,8,2,0.17,200,34,8,29,0.21621621621621623,2,32,0.058823529411764705
complex_warsaw,8,1,0.23893805309734514,113,27,14,44,0.2413793103448276,2,25,0.07407407407407407
laurentbaheux,7,116,0.84,200,168,7,58,0.1076923076923077,116,51,0.6946107784431138
adilson_motter,7,22,0.11888111888111888,143,17,2,117,0.01680672268907563,0,17,0.0
UB_ICS,7,17,0.4,200,80,17,121,0.12318840579710146,11,69,0.1375
SSEinitiative,7,17,0.32,200,64,1,117,0.00847457627118644,2,62,0.03125
ecozzo,7,2,0.82,200,164,2,32,0.058823529411764705,10,154,0.06097560975609756
SUPERTWIN_H2020,7,2,0.0410958904109589,73,3,1,41,0.023809523809523808,1,2,0.3333333333333333
AEBIOM,7,1,0.595,200,119,7,66,0.0958904109589041,1,118,0.008403361344537815
CGraciaLazaro,6,18,0.71,200,142,21,60,0.25925925925925924,86,56,0.6056338028169014
MacroPru,6,12,0.41,200,82,2,240,0.008264462809917356,6,76,0.07317073170731707
IASS_DOLFINS,6,6,0.664,125,83,68,40,0.6296296296296297,71,12,0.8554216867469879
sees_lab,6,5,0.675,200,135,1,33,0.029411764705882353,27,108,0.2
LDNinst,6,5,0.34615384615384615,104,36,6,52,0.10344827586206896,3,33,0.08333333333333333
ph_desfosses,6,4,0.11,200,22,11,1079,0.010091743119266056,1,21,0.045454545454545456
poesiaculina,6,4,0.027777777777777776,144,4,6,55,0.09836065573770492,4,0,1.0
Lsuttors,6,3,0.74,200,148,22,70,0.2391304347826087,34,114,0.22972972972972974
BUPardeeCenter,6,2,0.69,200,138,0,123,0.0,7,131,0.050724637681159424
aleaf_h2020,6,2,0.3742690058479532,171,64,23,140,0.1411042944785276,6,58,0.09375
georguensberg,6,1,0.29,200,58,1,137,0.007246376811594203,3,55,0.05172413793103448
_ChiaraPerillo,6,0,0.9787234042553191,47,46,5,3,0.625,37,9,0.8043478260869565
fabiofxvanni,5,24,0.16,200,32,8,64,0.1111111111111111,18,14,0.5625
bitlumens,5,17,0.215,200,43,1,137,0.007246376811594203,2,41,0.046511627906976744
Mattia_Guerini,5,14,0.885,200,177,14,20,0.4117647058823529,103,74,0.5819209039548022
FranciscoICMC,5,10,0.6733668341708543,199,134,11,27,0.2894736842105263,33,101,0.2462686567164179
bplisse,5,7,0.8765432098765432,81,71,8,5,0.6153846153846154,67,4,0.9436619718309859
GECoalition,5,6,0.36,200,72,0,166,0.0,4,68,0.05555555555555555
netsci2017,5,5,0.52,200,104,0,36,0.0,9,95,0.08653846153846154
YannisDafermos,5,5,0.8461538461538461,65,55,0,7,0.0,9,46,0.16363636363636364
FoundationRMF,5,2,0.12,200,24,5,429,0.01152073732718894,2,22,0.08333333333333333
axekoukou,5,2,0.12,200,24,0,136,0.0,2,22,0.08333333333333333
giacomolivan,5,1,0.2875816993464052,153,44,13,111,0.10483870967741936,2,42,0.045454545454545456
hans_taeubler,5,0,0.245,200,49,5,51,0.08928571428571429,0,49,0.0
7softley,5,0,0.805,200,161,1,19,0.05,0,161,0.0
ciro,4,40,0.86,200,172,7,49,0.125,7,165,0.040697674418604654
LetsWorkHappy,4,9,0.3,200,60,12,83,0.12631578947368421,11,49,0.18333333333333332
NickBeglinger,4,9,0.28,200,56,0,156,0.0,4,52,0.07142857142857142
Agn_ssa,4,8,0.7867647058823529,136,107,19,34,0.3584905660377358,77,30,0.719626168224299
veronika_st5,4,8,0.8088235294117647,68,55,3,1,0.75,49,6,0.8909090909090909
joostmulder,4,7,0.175,200,35,1,402,0.0024813895781637717,3,32,0.08571428571428572
KoljaKleineberg,4,7,0.79,200,158,0,24,0.0,6,152,0.0379746835443038
lgaalves,4,6,0.85,200,170,1,56,0.017543859649122806,25,145,0.14705882352941177
johemart55,4,3,0.85,200,170,3,32,0.08571428571428572,12,158,0.07058823529411765
LieveFransen,4,2,0.625,200,125,1,112,0.008849557522123894,9,116,0.072
IMTipps,4,0,0.0,200,0,4,0,1.0,0,0,0.0
Bifrostonline,4,0,0.52,200,104,4,53,0.07017543859649122,2,102,0.019230769230769232
CoeGSS,4,0,0.7035175879396985,199,140,6,15,0.2857142857142857,9,131,0.06428571428571428
hamzaz,4,0,0.5263157894736842,190,100,0,8,0.0,13,87,0.13
er_chechi,4,0,1.0,24,24,0,0,0.0,18,6,0.75
